⺮	ju<
三廢	sam fei
三弦	sam hian
三得利	sam deh li
三從四德	sam tsug s deh
三心二意	sam sim er i
三思而後行	sam s er heu hig
三思而行	sam s er hig
三手病	sam xeu big
三拗湯	sam au tag
三振	sam jn
三振出局	sam jn txu cyh
三教	sam ciau
三教九流	sam ciau ciu liu
三文治	sam un j
三文魚	sam un gy
三族	sam zuh
三旬九食	sam syn ciu x
三明	sam mig
三明市	sam mig x
三明治	sam mig j
三星	sam sig
三星堆	sam sig dui
三星鄉	sam sig hiag
三星集團	sam sig zih tuan
三春	sam txun
三昧	sam mei
三更	sam cg
三更半夜	sam cg ban ie
三曹	sam tsau
三月	sam gyeh
三月份	sam gyeh fn
三月街	sam gyeh cie
三朋四友	sam pg s iu
三板	sam ban
三柱門	sam ju mn
三框欄	sam kuag lan
三條	sam tiau
三極管	sam cih cuan
三權分立	sam kyan fn lih
三權鼎立	sam kyan dig lih
三次	sam ts
三次元	sam ts gyan
三次冪	sam ts mi
三次方	sam ts fag
三次方程	sam ts fag txg
三次曲線	sam ts kyh sian
三歸依	sam cui i
三段論	sam duan lun
三毛貓	sam mau mau
三民	sam min
三民主義	sam min ju gi
三民區	sam min ky
三氟化硼	sam fu hua pg
三氯化磷	sam ly hua lin
三氯化鐵	sam ly hua tieh
三氯氧磷	sam ly iag lin
三氯氰胺	sam ly kig an
三氯甲烷	sam ly ciah uan
三氯蔗糖	sam ly je tag
三水	sam xui
三水區	sam xui ky
三江並流	sam ciag big liu
三江侗族自治縣	sam ciag dug zuh z j hian
三江平原	sam ciag pig gyan
三江源	sam ciag gyan
三江生態旅遊區	sam ciag xg tai ly iu ky
三沙	sam xa
三沙市	sam xa x
三河	sam he
三河市	sam he x
三法司	sam fah s
三洋	sam iag
三流	sam liu
三浦	sam pu
三浦梅園	sam pu mei yan
三溫暖	sam un nuan
三灣	sam uan
三灣鄉	sam uan hiag
三炮	sam pau
三無	sam u
三無人員	sam u rn yan
三無企業	sam u ki gieh
三無產品	sam u txan pim
三焦	sam ziau
三牲	sam xg
三班倒	sam ban dau
三瓦兩舍	sam gua liag xe
三生有幸	sam xg iu hig
三用電表	sam yg dian biau
三田	sam tian
三甲	sam ciah
三略	sam lyeh
三番五次	sam fan gu ts
三番兩次	sam fan liag ts
三疊紀	sam dieh ci
三百六十行	sam baih liuh xh hag
三皇	sam huag
三皇五帝	sam huag gu di
三皇炮捶	sam huag pau txui
三相點	sam siag diam
三硝基甲苯	sam siau ci ciah bn
三碳糖	sam tan tag
三磷酸腺苷	sam lin suan hian cam
三秒膠	sam miau ciau
三稜草	sam lg tsau
三稜鏡	sam lg cig
三穗	sam sui
三穗縣	sam sui hian
三等分	sam dg fn
三等分角	sam dg fn ciauh
三節鞭	sam zieh bian
三級	sam cih
三級士官	sam cih x cuan
三級片	sam cih pian
三級跳	sam cih tiau
三級跳遠	sam cih tiau yan
三索錦蛇	sam sueh cim xe
三維	sam ui
三維空間	sam ui kug cian
三綱五常	sam cag gu txag
三緘其口	sam ciam ki keu
三義	sam gi
三義鄉	sam gi hiag
三聚氰胺	sam zy kig an
三聚體	sam zy ti
三聯式發票	sam lian xh fah piau
三聯書店	sam lian xu diam
三聯管	sam lian cuan
三胚層動物	sam pei tsg dug uh
三胞胎	sam bau tai
三腳兩步	sam ciauh liag bu
三腳架	sam ciauh cia
三腳貓	sam ciauh mau
三膲	sam ziau
三自	sam z
三自愛國教會	sam z ai cueh ciau hui
三自教會	sam z ciau hui
三色堇	sam seh cin
三色紫羅蘭	sam seh z lue lan
三色貓	sam seh mau
三芝	sam j
三芝鄉	sam j hiag
三茶六飯	sam txa liuh fan
三菱	sam lig
三葉星雲	sam ieh sig yn
三葉草	sam ieh tsau
三葉蟲	sam ieh txug
三藏	sam zag
三藏法師	sam zag fah x
三藩之亂	sam fan j luan
三藩叛亂	sam fan pan luan
三藩市	sam fan x
三蘇	sam su
三號木桿	sam hau muh can
三號電池	sam hau dian tx
三親六故	sam tsin liuh cu
三角	sam ciauh
三角債	sam ciauh jai
三角凳	sam ciauh dg
三角函數	sam ciauh ham xu
三角學	sam ciauh hyeh
三角巾	sam ciauh cin
三角帶	sam ciauh dai
三角座	sam ciauh zue
三角形	sam ciauh hig
三角恐龍	sam ciauh kug lug
三角戀愛	sam ciauh lian ai
三角旗	sam ciauh ki
三角板	sam ciauh ban
三角柱體	sam ciauh ju ti
三角法	sam ciauh fah
三角洲	sam ciauh jeu
三角測量法	sam ciauh tseh liag fah
三角肌	sam ciauh ci
三角腹帶	sam ciauh fuh dai
三角褲	sam ciauh ku
三角褲衩	sam ciauh ku txa
三角錐	sam ciauh jui
三角鐵	sam ciauh tieh
三角關係	sam ciauh cuan hi
三角龍	sam ciauh lug
三言兩句	sam gian liag cy
三言兩語	sam gian liag gy
三論宗	sam lun zug
三貂角	sam diau ciauh
三貞九烈	sam jn ciu lieh
三資企業	sam z ki gieh
三足烏	sam zu u
三足金烏	sam zu cim u
三足鼎立	sam zu dig lih
三趾啄木鳥	sam j jueh muh niau
三趾濱鷸	sam j bin yh
三趾翠鳥	sam j tsui niau
三趾鴉雀	sam j ia tsyeh
三趾鷗	sam j eu
三跪九叩	sam cui ciu keu
三軍	sam cyn
三軍用命	sam cyn yg mig
三輪車	sam lun txe
三輪車夫	sam lun txe fu
三農	sam nug
三農問題	sam nug un ti
三迭紀	sam dieh ci
三退	sam tui
三通	sam tug
三連勝	sam lian xg
三道眉草鵐	sam dau mei tsau u
三邊形	sam bian hig
三部曲	sam bu kyh
三都水族自治縣	sam du xui zuh z j hian
三都縣	sam du hian
三酸甘油酯	sam suan cam iu j
三里屯	sam li tun
三里河	sam li he
三重	sam txug
三重奏	sam txug zeu
三重縣	sam txug hian
三鍵	sam cian
三鐵	sam tieh
三長兩短	sam txag liag duan
三門	sam mn
三門峽	sam mn hiah
三門峽市	sam mn hiah x
三門縣	sam mn hian
三阿姨	sam a i
三陪小姐	sam pei siau zie
三隻手	sam jh xeu
三音	sam im
三音度	sam im du
三項	sam hiag
三項全能	sam hiag tsyan ng
三項式	sam hiag xh
三頭六臂	sam teu liuh bi
三頭肌	sam teu ci
三顧茅廬	sam cu mau lu
三馬同槽	sam ma tug tsau
三駕馬車	sam cia ma txe
三體	sam ti
三體問題	sam ti un ti
三魂	sam hun
三魂七魄	sam hun tsih pueh
三鮮	sam sian
三鹿	sam luh
三鹿集團	sam luh zih tuan
三點全露	sam diam tsyan leu
三點水	sam diam xui
上	dai>
上	xag>
上	xag\
上一個	xag ih ce
上一號	xag ih hau
上一頁	xag ih ieh
上上之策	xag xag j tseh
上下	xag hia
上下五千年	xag hia gu tsian nian
上下其手	xag hia ki xeu
上下床	xag hia txuag
上下文	xag hia un
上下文菜單	xag hia un tsai dan
上下班	xag hia ban
上下鋪	xag hia pu
上不了檯面	xag bu liau tai mian
上不得臺盤	xag bu deh tai pan
上乘	xag txg
上了年紀	xag le nian ci
上交	xag ciau
上代	xag dai
上任	xag rm
上位	xag ui
上位概念	xag ui cai niam
上佳	xag cia
上來	xag lai
上供	xag cug
上個	xag ce
上個星期	xag ce sig ki
上個月	xag ce gyeh
上傳	xag txuan
上元	xag gyan
上元節	xag gyan zieh
上分	xag fn
上刑	xag hig
上前	xag tsian
上升	xag xg
上升空間	xag xg kug cian
上升趨勢	xag xg tsy x
上午	xag gu
上半	xag ban
上半夜	xag ban ie
上半天	xag ban tian
上半年	xag ban nian
上半晌	xag ban xag
上半葉	xag ban ieh
上半身	xag ban xn
上半部分	xag ban bu fn
上去	xag ky
上口	xag keu
上古	xag cu
上古漢語	xag cu han gy
上台	xag tai
上司	xag s
上合	xag heh
上合組織	xag heh zu j
上吊	xag diau
上同調	xag tug diau
上吐下瀉	xag tu hia sie
上周	xag jeu
上呼吸道感染	xag hu hih dau cam ram
上品	xag pim
上唇	xag txun
上善若水	xag xan rue xui
上回	xag hui
上坡	xag pue
上坡段	xag pue duan
上坡路	xag pue lu
上城區	xag txg ky
上域	xag yh
上報	xag bau
上場	xag txag
上墳	xag fn
上外	xag guai
上夜	xag ie
上天	xag tian
上天入地	xag tian ruh di
上夸克	xag kua keh
上好	xag hau
上學	xag hyeh
上官	xag cuan
上家	xag cia
上將	xag ziag
上將軍	xag ziag cyn
上尉	xag ui
上層	xag tsg
上層建築	xag tsg cian juh
上山	xag xan
上山下鄉	xag xan hia hiag
上岸	xag gan
上峰	xag fg
上崗	xag cag
上工	xag cug
上市	xag x
上市公司	xag x cug s
上帝	xag di
上年	xag nian
上年紀	xag nian ci
上床	xag txuag
上座	xag zue
上座部	xag zue bu
上廁所	xag tse sue
上弦	xag hian
上弦月	xag hian gyeh
上心	xag sim
上思	xag s
上思縣	xag s hian
上房	xag fag
上手	xag xeu
上揚	xag iag
上揚趨勢	xag iag tsy x
上文	xag un
上新世	xag sin x
上方	xag fag
上方寶劍	xag fag bau cian
上旬	xag syn
上星	xag sig
上星劇	xag sig cyh
上星期	xag sig ki
上映	xag ig
上書	xag xu
上月	xag gyeh
上有老下有小	xag iu lau hia iu siau
上期	xag ki
上杭	xag hag
上杭縣	xag hag hian
上林	xag lim
上林縣	xag lim hian
上架	xag cia
上栗	xag lih
上栗縣	xag lih hian
上校	xag hiau
上桌	xag jueh
上桿	xag can
上梁不正下梁歪	xag liag bu jg hia liag uai
上榜	xag bag
上樑	xag liag
上樓	xag leu
上標	xag biau
上次	xag ts
上款	xag kuan
上氣不接下氣	xag ki bu zieh hia ki
上水	xag xui
上汽	xag ki
上流	xag liu
上流社會	xag liu xe hui
上浣	xag huan
上浮	xag fu
上海	xag hai
上海交通大學	xag hai ciau tug da hyeh
上海合作組織	xag hai heh zue zu j
上海外國語大學	xag hai guai cueh gy da hyeh
上海大劇院	xag hai da cyh yan
上海大學	xag hai da hyeh
上海市	xag hai x
上海戲劇學院	xag hai hi cyh hyeh yan
上海振華港口機械	xag hai jn hua cag keu ci hie
上海文廣新聞傳媒集團	xag hai un cuag sin un txuan mei zih tuan
上海汽車工業集團	xag hai ki txe cug gieh zih tuan
上海浦東發展銀行	xag hai pu dug fah jan gin hag
上海環球金融中心	xag hai huan kiu cim rug jug sim
上海白菜	xag hai baih tsai
上海話	xag hai hua
上海證券交易所	xag hai jg kyan ciau i sue
上海證券交易所綜合股價指數	xag hai jg kyan ciau i sue zug heh cu cia j xu
上海財經大學	xag hai tsai cig da hyeh
上海音樂學院	xag hai im ye hyeh yan
上海體育場	xag hai ti yh txag
上游	xag iu
上演	xag ian
上漲	xag jag
上火	xag hue
上焦	xag ziau
上熱搜	xag reh seu
上片	xag pian
上牌	xag pai
上牙膛	xag gia tag
上犬式	xag kyan xh
上猶	xag iu
上猶縣	xag iu hian
上班	xag ban
上班族	xag ban zuh
上班時間	xag ban x cian
上環	xag huan
上田	xag tian
上界	xag cie
上當	xag dag
上當受騙	xag dag xeu pian
上疏	xag xu
上癮	xag in
上發條	xag fah tiau
上皮	xag pi
上相	xag siag
上眼瞼	xag gian ciam
上眼藥	xag gian iauh
上瞼	xag ciam
上確界	xag kyeh cie
上稅	xag xui
上空	xag kug
上空洗車	xag kug si txe
上第	xag di
上等	xag dg
上等兵	xag dg big
上算	xag suan
上箭頭	xag zian teu
上箭頭鍵	xag zian teu cian
上籃	xag lam
上級	xag cih
上級領導	xag cih lig dau
上綱上線	xag cag xag sian
上網	xag uag
上網本	xag uag bn
上緊發條	xag cin fah tiau
上線	xag sian
上繳	xag ciau
上聲	xag xg
上肢	xag j
上膘	xag biau
上膛	xag tag
上臂	xag bi
上臉	xag liam
上船	xag txuan
上色	xag seh
上色	xag xaih
上艾瑟爾	xag gai seh er
上菜	xag tsai
上菜秀	xag tsai siu
上萬	xag uan
上蒼	xag tsag
上蔡	xag tsai
上蔡縣	xag tsai hian
上行	xag hig
上行下傚	xag hig hia hiau
上街	xag cie
上街區	xag cie ky
上衣	xag i
上衫	xag xam
上裝	xag juag
上西天	xag si tian
上覆	xag fu
上訪	xag fag
上訴	xag su
上訴法院	xag su fah yan
上課	xag ke
上調	xag tiau
上諭	xag y
上證	xag jg
上證綜合指數	xag jg zug heh j xu
上議院	xag gi yan
上賊船	xag zeih txuan
上路	xag lu
上身	xag xn
上車	xag txe
上軌道	xag cui dau
上載	xag zai
上輩	xag bei
上輩子	xag bei z
上農	xag nug
上述	xag xuh
上進	xag zin
上進心	xag zin sim
上達	xag dah
上邊	xag bian
上邊兒	xag bian r
上部	xag bu
上都	xag du
上野	xag ie
上鉤	xag ceu
上鉤兒	xag ceu r
上鎖	xag sue
上鏡	xag cig
上鐘	xag jug
上門	xag mn
上門客	xag mn keh
上門費	xag mn fei
上限	xag hian
上陣	xag jn
上面	xag mian
上面級	xag mian cih
上鞋	xag hie
上頁	xag ieh
上頜	xag he
上頜骨	xag he cuh
上頭	xag teu
上頷	xag ham
上顎正門齒	xag geh jg mn tx
上風	xag fg
上館子	xag cuan z
上饒	xag rau
上饒市	xag rau x
上首	xag xeu
上馬	xag ma
上高	xag cau
上高縣	xag cau hian
上齒	xag tx
上龍	xag lug
下	hia>
下一代	hia ih dai
下一個	hia ih ce
下一次	hia ih ts
下一步	hia ih bu
下一站	hia ih jam
下一頁	hia ih ieh
下三濫	hia sam lam
下三爛	hia sam lan
下不了臺	hia bu liau tai
下不來	hia bu lai
下不來臺	hia bu lai tai
下不為例	hia bu ui li
下世	hia x
下丘腦	hia kiu nau
下九流	hia ciu liu
下乳	hia ru
下人	hia rn
下令	hia lig
下任	hia rm
下作	hia zue
下來	hia lai
下修	hia siu
下個	hia ce
下個星期	hia ce sig ki
下個月	hia ce gyeh
下凡	hia fam
下列	hia lie
下劃線	hia huah sian
下功夫	hia cug fu
下午	hia gu
下午好	hia gu hau
下午茶	hia gu txa
下半	hia ban
下半天	hia ban tian
下半年	hia ban nian
下半身	hia ban xn
下去	hia ky
下同	hia tug
下唇	hia txun
下單	hia dan
下回	hia hui
下地	hia di
下坡	hia pue
下坡路	hia pue lu
下垂	hia txui
下場	hia txag
下場門	hia txag mn
下墜	hia jui
下士	hia x
下夸克	hia kua keh
下奶	hia nai
下嫁	hia cia
下定決心	hia dig cyeh sim
下定義	hia dig gi
下家	hia cia
下寒武	hia han u
下寒武統	hia han u tug
下屆	hia cie
下層	hia tsg
下屬	hia xuh
下屬公司	hia xuh cug s
下山	hia xan
下崗	hia cag
下崽	hia zai
下工	hia cug
下工夫	hia cug fu
下巴	hia ba
下巴頦	hia ba ke
下廚	hia txu
下弦	hia hian
下弦月	hia hian gyeh
下情	hia tsig
下意識	hia i x
下手	hia xeu
下拜	hia bai
下挫	hia tsue
下擺	hia bai
下放	hia fag
下方	hia fag
下旋	hia syan
下旋削球	hia syan siauh kiu
下旬	hia syn
下星期	hia sig ki
下月	hia gyeh
下期	hia ki
下架	hia cia
下棋	hia ki
下榻	hia tah
下樓	hia leu
下標	hia biau
下檻	hia kam
下次	hia ts
下次見	hia ts cian
下款	hia kuan
下死勁	hia s cin
下毒	hia duh
下毒手	hia duh xeu
下毛毛雨	hia mau mau y
下水	hia xui
下水禮	hia xui li
下水管	hia xui cuan
下水道	hia xui dau
下決心	hia cyeh sim
下沉	hia txm
下沉市場	hia txm x txag
下注	hia ju
下流	hia liu
下浣	hia huan
下浮	hia fu
下海	hia hai
下游	hia iu
下滑	hia huah
下焦	hia ziau
下片	hia pian
下犬式	hia kyan xh
下狠心	hia hn sim
下獄	hia gyh
下班	hia ban
下界	hia cie
下畫線	hia hua sian
下發	hia fah
下眼瞼	hia gian ciam
下確界	hia kyeh cie
下筆	hia bih
下箭頭	hia zian teu
下箭頭鍵	hia zian teu cian
下箸	hia ju
下級	hia cih
下網	hia uag
下線	hia sian
下線儀式	hia sian gi xh
下而上	hia er xag
下聘	hia pin
下肚	hia du
下肢	hia j
下腰	hia iau
下腳	hia ciauh
下腳料	hia ciauh liau
下腹部	hia fuh bu
下至上	hia j xag
下臺	hia tai
下臺階	hia tai cie
下花園	hia hua yan
下花園區	hia hua yan ky
下落	hia lueh
下落不明	hia lueh bu mig
下葬	hia zag
下藥	hia iauh
下蛋	hia dan
下行	hia hig
下裝	hia juag
下西洋	hia si iag
下視	hia x
下視丘	hia x kiu
下訂單	hia dig dan
下設	hia xeh
下詔	hia jau
下課	hia ke
下調	hia diau
下調	hia tiau
下議院	hia gi yan
下議院議員	hia gi yan gi yan
下賤	hia zian
下跌	hia dieh
下跪	hia cui
下身	hia xn
下車	hia txe
下載	hia zai
下輩	hia bei
下輩子	hia bei z
下轄	hia hia
下逐客令	hia juh keh lig
下週	hia jeu
下達	hia dah
下邊	hia bian
下邊兒	hia bian r
下鄉	hia hiag
下酒	hia ziu
下酒菜	hia ziu tsai
下里巴人	hia li ba rn
下野	hia ie
下錨	hia mau
下鍋	hia cue
下閘	hia jah
下關市	hia cuan x
下降	hia ciag
下限	hia hian
下院	hia yan
下陰	hia im
下陷	hia hiam
下陸	hia luh
下陸區	hia luh ky
下雨	hia y
下雪	hia syeh
下面	hia mian
下頁	hia ieh
下頜	hia he
下頜下腺	hia he hia hian
下頜骨	hia he cuh
下頦	hia ke
下頭	hia teu
下頷	hia ham
下頷骨	hia ham cuh
下顎	hia geh
下風	hia fg
下風方向	hia fg fag hiag
下飛機	hia fei ci
下飯	hia fan
下館子	hia cuan z
下馬	hia ma
下馬威	hia ma ui
下馱	hia tue
下體	hia ti
下麵	hia mian
下鼻甲	hia bi ciah
下齒	hia tx
下龍灣	hia lug uan
丌	ci/
丌	ki<
不	bu>
不一	bu ih
不一定	bu ih dig
不一會	bu ih hui
不一樣	bu ih iag
不一而足	bu ih er zu
不一致字	bu ih j z
不三不四	bu sam bu s
不下	bu hia
不下於	bu hia y
不中意	bu jug i
不中用	bu jug yg
不丹	bu dan
不主故常	bu ju cu txag
不久	bu ciu
不久前	bu ciu tsian
不乏	bu fah
不乾不淨	bu can bu zig
不了	bu le
不了	bu liau
不了了之	bu liau liau j
不予理會	bu y li hui
不予置評	bu y j pig
不予評論	bu y pig lun
不事張揚	bu x jag iag
不事生產	bu x xg txan
不二	bu er
不二價	bu er cia
不二法門	bu er fah mn
不亞	bu ia
不亞於	bu ia y
不亢不卑	bu kag bu bei
不亦樂乎	bu ih le hu
不人道	bu rn dau
不仁	bu rn
不以人廢言	bu i rn fei gian
不以為意	bu i ui i
不以為然	bu i ui ran
不以詞害誌	bu i ts hai j
不以辭害志	bu i ts hai j
不休	bu hiu
不但	bu dan
不住	bu ju
不作死就不會死	bu zue s ziu bu hui s
不作為	bu zue ui
不佞	bu nig
不佳	bu cia
不來梅	bu lai mei
不來梅港	bu lai mei cag
不依	bu i
不依不饒	bu i bu rau
不便	bu bian
不便險	bu bian hiam
不俗	bu suh
不信任動議	bu sin rm dug gi
不信任投票	bu sin rm teu piau
不信任案	bu sin rm an
不修邊幅	bu siu bian fuh
不倒翁	bu dau ug
不倦	bu cyan
不倫	bu lun
不倫不類	bu lun bu lei
不值	bu j
不值一文	bu j ih un
不值一笑	bu j ih hiau
不值一駁	bu j ih bueh
不值得	bu j deh
不值錢	bu j tsian
不假思索	bu cia s sueh
不偏不倚	bu pian bu i
不偏斜	bu pian hie
不做聲	bu zue xg
不停	bu tig
不偷不搶	bu teu bu tsiag
不備	bu bei
不傷脾胃	bu xag pi ui
不僅	bu cin
不僅僅	bu cin cin
不僅如此	bu cin ru ts
不像樣	bu siag iag
不像話	bu siag hua
不光	bu cuag
不光彩	bu cuag tsai
不克	bu keh
不免	bu mian
不免一死	bu mian ih s
不兒	bu r
不兒道	bu r dau
不入時宜	bu ruh x gi
不公	bu cug
不共戴天	bu cug dai tian
不兼容性	bu ciam rug sig
不再	bu zai
不准	bu jun
不准許	bu jun hy
不凍港	bu dug cag
不凍港口	bu dug cag keu
不凡	bu fam
不出所料	bu txu sue liau
不分	bu fn
不分上下	bu fn xag hia
不分伯仲	bu fn bueh jug
不分勝敗	bu fn xg bai
不分勝負	bu fn xg fu
不分彼此	bu fn bi ts
不分情由	bu fn tsig iu
不分晝夜	bu fn jeu ie
不分皂白	bu fn zau baih
不分系	bu fn hi
不分軒輊	bu fn hyan j
不分青紅皂白	bu fn kig hug zau baih
不分高下	bu fn cau hia
不切合實際	bu tsie heh xh zi
不切實際	bu tsie xh zi
不刊之論	bu kan j lun
不划算	bu hua suan
不列顛	bu lie dian
不列顛保衛戰	bu lie dian bau ui jan
不列顛哥倫比亞	bu lie dian ce lun bi ia
不列顛哥倫比亞省	bu lie dian ce lun bi ia xg
不列顛戰役	bu lie dian jan ih
不列顛諸島	bu lie dian ju dau
不利	bu li
不到	bu dau
不到火候不揭鍋	bu dau hue heu bu cie cue
不到長城非好漢	bu dau txag txg fei hau han
不到黃河心不死	bu dau huag he sim bu s
不力	bu lih
不加	bu cia
不加修飾	bu cia siu xh
不加區別	bu cia ky bie
不加思索	bu cia s sueh
不加拘束	bu cia cy xuh
不加掩飾	bu cia iam xh
不加理睬	bu cia li tsai
不加選擇	bu cia syan zeh
不動	bu dug
不動搖	bu dug iau
不動產	bu dug txan
不動聲色	bu dug xg seh
不動點	bu dug diam
不動點定理	bu dug diam dig li
不務正業	bu u jg gieh
不勝	bu xg
不勝其擾	bu xg ki rau
不勝其煩	bu xg ki fan
不勝其苦	bu xg ki ku
不勝枚舉	bu xg mei cy
不勝酒力	bu xg ziu lih
不勞而獲	bu lau er hueh
不匱	bu kui
不區分大小寫	bu ky fn da siau sie
不卑不亢	bu bei bu kag
不協調	bu hieh tiau
不即不離	bu zih bu li
不厭	bu ian
不厭其煩	bu ian ki fan
不去理	bu ky li
不及	bu cih
不及格	bu cih ceh
不及物動詞	bu cih uh dug ts
不受歡迎	bu xeu huan gig
不只	bu j
不可	bu ke
不可一世	bu ke ih x
不可以	bu ke i
不可估量	bu ke cu liag
不可侵犯	bu ke tsim fam
不可侵犯權	bu ke tsim fam kyan
不可再生資源	bu ke zai xg z gyan
不可分割	bu ke fn ceh
不可分離	bu ke fn li
不可勝數	bu ke xg xu
不可勝言	bu ke xg gian
不可同日而語	bu ke tug rh er gy
不可名狀	bu ke mig juag
不可告人	bu ke cau rn
不可多得	bu ke due deh
不可導	bu ke dau
不可少	bu ke xau
不可思議	bu ke s gi
不可或缺	bu ke hueh kyeh
不可抗力	bu ke kag lih
不可抗拒	bu ke kag cy
不可挽回	bu ke uan hui
不可撤銷信用證	bu ke txeh siau sin yg jg
不可收拾	bu ke xeu xh
不可救藥	bu ke ciu iauh
不可數	bu ke xu
不可數名詞	bu ke xu mig ts
不可數集	bu ke xue zih
不可枚舉	bu ke mei cy
不可理喻	bu ke li y
不可知論	bu ke j lun
不可磨滅	bu ke mue mieh
不可端倪	bu ke duan ni
不可終日	bu ke jug rh
不可缺少	bu ke kyeh xau
不可置信	bu ke j sin
不可能	bu ke ng
不可解	bu ke cie
不可言喻	bu ke gian y
不可逆	bu ke nih
不可逆轉	bu ke nih juan
不可通約	bu ke tug ye
不可逾越	bu ke y yeh
不可避	bu ke bi
不可避免	bu ke bi mian
不可開交	bu ke kai ciau
不可靠	bu ke kau
不合	bu heh
不合作	bu heh zue
不合時宜	bu heh x gi
不合法	bu heh fah
不合理	bu heh li
不合體統	bu heh ti tug
不吉	bu cih
不吉利	bu cih li
不同	bu tug
不同凡響	bu tug fam hiag
不同尋常	bu tug sym txag
不名一文	bu mig ih un
不名一錢	bu mig ih tsian
